Species,Mo_since_burn_grouped,Count
Bombus impatiens,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes agilis,11 to 15,1
Lasioglossum raleighense,11 to 15,1
Melissodes agilis,11 to 15,1
Bombus pensylvanicus,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes bimaculata,11 to 15,1
Bombus pensylvanicus,11 to 15,1
Megachile campanulae,11 to 15,1
Bombus fraternus,11 to 15,1
Melissodes bimaculata,11 to 15,1
Bombus griseocollis,11 to 15,1
Bombus pensylvanicus,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes agilis,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes communis,0 to 5,1
Melissodes bimaculata,0 to 5,1
Bombus impatiens,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Bombus impatiens,0 to 5,1
Megachile brevis,0 to 5,1
Halictus parallelus,0 to 5,1
Melissodes bimaculata,0 to 5,1
Melissodes bimaculata,0 to 5,1
Melissodes bimaculata,0 to 5,1
Melissodes bimaculata,0 to 5,1
Bombus griseocollis,0 to 5,1
Bombus griseocollis,0 to 5,1
Bombus impatiens,0 to 5,1
Melissodes bimaculata,0 to 5,1
Augochlora pura,0 to 5,1
Melissodes agilis,0 to 5,1
Melissodes agilis,0 to 5,1
Melissodes communis,0 to 5,1
Melissodes communis,0 to 5,1
Melissodes agilis,0 to 5,1
Melissodes agilis,0 to 5,1
Bombus impatiens,0 to 5,1
Ceratina calcarata,0 to 5,1
Bombus pensylvanicus,11 to 15,1
Melissodes bimaculata,11 to 15,1
Halictus ligatus/poeyi,11 to 15,1
Melitoma taurea,11 to 15,1
Bombus pensylvanicus,11 to 15,1
Bombus pensylvanicus,11 to 15,1
Melissodes bimaculata,11 to 15,1
Anthophora abrupta,11 to 15,1
Melitoma taurea,11 to 15,1
Augochlorella aurata,11 to 15,1
Augochlorella aurata,11 to 15,1
Lasioglossum 6,11 to 15,1
Lasioglossum pilosum,11 to 15,1
Lasioglossum 1,11 to 15,1
Augochloropsis sumptuosa,16 to 20,1
Augochloropsis sumptuosa,16 to 20,1
Melissodes bimaculata,16 to 20,1
Bombus impatiens,16 to 20,1
Bombus pensylvanicus,6 to 10,1
Anthophora abrupta,6 to 10,1
Bombus pensylvanicus,0 to 5,1
Melissodes communis,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Megachile texana,0 to 5,1
Augochlora pura,0 to 5,1
Melissodes trinodis,0 to 5,1
Lasioglossum floridanum,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Melissodes communis,0 to 5,1
Lasioglossum bruneri,0 to 5,1
Lasioglossum perpunctatum,0 to 5,1
Melissodes comptoides,0 to 5,1
Megachile albitarsis,0 to 5,1
Megachile addenda,0 to 5,1
Lasioglossum pilosum,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Ceratina strenua,0 to 5,1
Bombus pensylvanicus,11 to 15,1
Bombus impatiens,11 to 15,1
Bombus pensylvanicus,11 to 15,1
Bombus pensylvanicus,11 to 15,1
Augochloropsis metallica,11 to 15,1
Lasioglossum bruneri,11 to 15,1
Bombus impatiens,11 to 15,1
Svastra compta,11 to 15,1
Megachile brevis pseudobrevis,11 to 15,1
Bombus pensylvanicus,16 to 20,1
Lasioglossum apopkense,16 to 20,1
Melitoma taurea,16 to 20,1
Bombus impatiens,16 to 20,1
Bombus pensylvanicus,6 to 10,1
Bombus pensylvanicus,6 to 10,1
Bombus pensylvanicus,6 to 10,1
Bombus impatiens,6 to 10,1
Bombus griseocollis,0 to 5,1
Megachile georgica,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Bombus impatiens,0 to 5,1
Bombus impatiens,0 to 5,1
Lasioglossum apopkense,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Bombus impatiens,0 to 5,1
Bombus impatiens,0 to 5,1
Bombus impatiens,0 to 5,1
Bombus impatiens,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Anthophora abrupta,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Bombus griseocollis,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Bombus pensylvanicus,11 to 15,1
Bombus pensylvanicus,11 to 15,1
Bombus pensylvanicus,11 to 15,1
Ptilothrix  bombiformis,11 to 15,1
Augochlora pura,11 to 15,1
Bombus pensylvanicus,11 to 15,1
Bombus pensylvanicus,11 to 15,1
Bombus impatiens,16 to 20,1
Bombus pensylvanicus,16 to 20,1
Bombus pensylvanicus,16 to 20,1
Bombus pensylvanicus,16 to 20,1
Bombus pensylvanicus,16 to 20,1
Anthophora abrupta,16 to 20,1
Bombus griseocollis,16 to 20,1
Bombus pensylvanicus,6 to 10,1
Bombus pensylvanicus,6 to 10,1
Melitoma taurea,0 to 5,1
Bombus impatiens,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Bombus impatiens,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Bombus pensylvanicus,16 to 20,1
Bombus pensylvanicus,16 to 20,1
Bombus pensylvanicus,16 to 20,1
Bombus pensylvanicus,16 to 20,1
Melissodes boltoniae,16 to 20,1
Melitoma taurea,16 to 20,1
Bombus pensylvanicus,16 to 20,1
Bombus pensylvanicus,6 to 10,1
Bombus pensylvanicus,6 to 10,1
Bombus pensylvanicus,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Bombus pensylvanicus,16 to 20,1
Bombus pensylvanicus,16 to 20,1
Melissodes apicatus,16 to 20,1
Bombus impatiens,16 to 20,1
Melissodes apicatus,16 to 20,1
Augochlora pura,16 to 20,1
Bombus pensylvanicus,16 to 20,1
Bombus pensylvanicus,16 to 20,1
Andrena 1,16 to 20,1
Bombus pensylvanicus,21 plus,1
Bombus impatiens,21 plus,1
Melissodes agilis,16 to 20,1
Melissodes apicatus,16 to 20,1
Bombus griseocollis,6 to 10,1
Megachile albitarsis,6 to 10,1
Augochlora pura,6 to 10,1
Melissodes agilis,6 to 10,1
Melissodes apicatus,6 to 10,1
Melissodes agilis,0 to 5,1
Melissodes agilis,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Melissodes agilis,0 to 5,1
Melissodes agilis,0 to 5,1
Lasioglossum heterognathus,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Melissodes apicatus,0 to 5,1
Unknown,0 to 5,1
Bombus griseocollis,16 to 20,1
Lasioglossum 5,16 to 20,1
Bombus pensylvanicus,16 to 20,1
Bombus impatiens,21 plus,1
Megachile albitarsis,16 to 20,1
Lasioglossum 7,16 to 20,1
Lasioglossum 4,16 to 20,1
Bombus impatiens,6 to 10,1
Bombus pensylvanicus,6 to 10,1
Bombus pensylvanicus,6 to 10,1
Lasioglossum 5,0 to 5,1
Lasioglossum apopkense,0 to 5,1
Melissodes dentiventris,16 to 20,1
Bombus pensylvanicus,16 to 20,1
Melissodes agilis,16 to 20,1
Melissodes dentiventris,16 to 20,1
Melissodes agilis,21 plus,1
Bombus impatiens,6 to 10,1
Lasioglossum hemimelas,6 to 10,1
Lasioglossum floridanum,6 to 10,1
Svastra obliqua,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Melissodes trinodis,0 to 5,1
Melissodes bimaculata,0 to 5,1
Bombus pensylvanicus,0 to 5,1
Melissodes trinodis,0 to 5,1
Melissodes agilis,0 to 5,1
Lasioglossum 6,0 to 5,1
Bombus impatiens,16 to 20,1
Bombus impatiens,16 to 20,1
Bombus impatiens,16 to 20,1
Bombus impatiens,16 to 20,1
Bombus impatiens,16 to 20,1
Bombus impatiens,16 to 20,1
Ceratina dupla,16 to 20,1
Bombus impatiens,21 plus,1
Bombus impatiens,21 plus,1
Bombus impatiens,21 plus,1
Bombus impatiens,21 plus,1
Melissodes dentiventris,21 plus,1
Bombus impatiens,16 to 20,1
Melissodes bimaculata,16 to 20,1
Melissodes dentiventris,16 to 20,1
Melissodes bidentis,6 to 10,1
Bombus impatiens,6 to 10,1
Bombus impatiens,6 to 10,1
Melissodes bidentis,6 to 10,1
Xylocopa virginica,6 to 10,1
Melissodes bidentis,6 to 10,1
Melissodes agilis,6 to 10,1
Melissodes communis,6 to 10,1
Melissodes bidentis,6 to 10,1
Melissodes bidentis,6 to 10,1
Bombus griseocollis,6 to 10,1
Bombus impatiens,6 to 10,1
